"Disk Reads","Disk Reads"
2023-04-27 18:53:14,0.0 B/s
2023-04-27 18:53:16,0.0 B/s
2023-04-27 18:53:18,4.9 kB/s
2023-04-27 18:53:20,4.9 kB/s
2023-04-27 18:53:22,0.0 B/s
2023-04-27 18:53:24,0.0 B/s
2023-04-27 18:53:26,0.0 B/s
2023-04-27 18:53:28,0.0 B/s
2023-04-27 18:53:30,0.0 B/s
2023-04-27 18:53:32,0.0 B/s
2023-04-27 18:53:34,0.0 B/s
2023-04-27 18:53:36,0.0 B/s
2023-04-27 18:53:38,0.0 B/s
2023-04-27 18:53:40,0.0 B/s
2023-04-27 18:53:42,0.0 B/s
2023-04-27 18:53:44,0.0 B/s
2023-04-27 18:53:46,0.0 B/s
2023-04-27 18:53:48,74.5 kB/s
2023-04-27 18:53:50,359.6 kB/s
2023-04-27 18:53:52,908.5 kB/s
2023-04-27 18:53:54,1.2 MB/s
2023-04-27 18:53:56,1.2 MB/s
2023-04-27 18:53:58,1.2 MB/s
2023-04-27 18:54:00,1.2 MB/s
2023-04-27 18:54:02,1.1 MB/s
2023-04-27 18:54:04,1.3 MB/s
2023-04-27 18:54:06,1.6 MB/s
2023-04-27 18:54:08,1.4 MB/s
2023-04-27 18:54:10,1.4 MB/s
2023-04-27 18:54:12,1.4 MB/s
2023-04-27 18:54:14,1.4 MB/s
2023-04-27 18:54:16,1.3 MB/s
2023-04-27 18:54:18,1.2 MB/s
2023-04-27 18:54:20,1.1 MB/s
2023-04-27 18:54:22,1.1 MB/s
2023-04-27 18:54:24,1.1 MB/s
2023-04-27 18:54:26,1.3 MB/s
2023-04-27 18:54:28,1.3 MB/s
2023-04-27 18:54:30,1.5 MB/s
2023-04-27 18:54:32,1.4 MB/s
2023-04-27 18:54:34,1.3 MB/s
2023-04-27 18:54:36,1.3 MB/s
2023-04-27 18:54:38,1.2 MB/s
2023-04-27 18:54:40,1.1 MB/s
2023-04-27 18:54:42,1.2 MB/s
2023-04-27 18:54:44,1.3 MB/s
2023-04-27 18:54:46,1.2 MB/s
2023-04-27 18:54:48,1.2 MB/s
2023-04-27 18:54:50,1.2 MB/s
2023-04-27 18:54:52,1.2 MB/s
2023-04-27 18:54:54,1.2 MB/s
2023-04-27 18:54:56,1.1 MB/s
2023-04-27 18:54:58,1.0 MB/s
2023-04-27 18:55:00,983.9 kB/s
2023-04-27 18:55:02,951.9 kB/s
2023-04-27 18:55:04,974.0 kB/s
2023-04-27 18:55:06,918.3 kB/s
2023-04-27 18:55:08,966.7 kB/s
2023-04-27 18:55:10,899.5 kB/s
2023-04-27 18:55:12,944.5 kB/s
2023-04-27 18:55:14,901.1 kB/s
2023-04-27 18:55:16,879.8 kB/s
2023-04-27 18:55:18,948.6 kB/s
2023-04-27 18:55:20,1.0 MB/s
2023-04-27 18:55:22,951.1 kB/s
2023-04-27 18:55:24,807.7 kB/s
2023-04-27 18:55:26,867.5 kB/s
2023-04-27 18:55:28,723.4 kB/s
2023-04-27 18:55:30,687.3 kB/s
2023-04-27 18:55:32,758.6 kB/s
2023-04-27 18:55:34,651.3 kB/s
2023-04-27 18:55:36,554.6 kB/s
2023-04-27 18:55:38,688.9 kB/s
2023-04-27 18:55:40,761.0 kB/s
2023-04-27 18:55:42,831.5 kB/s
2023-04-27 18:55:44,702.9 kB/s
2023-04-27 18:55:46,665.2 kB/s
2023-04-27 18:55:48,657.8 kB/s
2023-04-27 18:55:50,709.4 kB/s
2023-04-27 18:55:52,660.3 kB/s
2023-04-27 18:55:54,728.3 kB/s
2023-04-27 18:55:56,733.2 kB/s
2023-04-27 18:55:58,690.6 kB/s
2023-04-27 18:56:00,666.8 kB/s
2023-04-27 18:56:02,757.8 kB/s
2023-04-27 18:56:04,784.0 kB/s
2023-04-27 18:56:06,599.7 kB/s
2023-04-27 18:56:08,565.2 kB/s
2023-04-27 18:56:10,522.6 kB/s
2023-04-27 18:56:12,511.2 kB/s
2023-04-27 18:56:14,634.1 kB/s
2023-04-27 18:56:16,836.4 kB/s
2023-04-27 18:56:18,800.4 kB/s
2023-04-27 18:56:20,671.7 kB/s
2023-04-27 18:56:22,636.5 kB/s
2023-04-27 18:56:24,531.7 kB/s
2023-04-27 18:56:26,543.9 kB/s
2023-04-27 18:56:28,568.5 kB/s
2023-04-27 18:56:30,654.5 kB/s
2023-04-27 18:56:32,377.7 kB/s
2023-04-27 18:56:34,276.1 kB/s
2023-04-27 18:56:36,298.2 kB/s
2023-04-27 18:56:38,373.6 kB/s
2023-04-27 18:56:40,406.3 kB/s
2023-04-27 18:56:42,412.1 kB/s
2023-04-27 18:56:44,408.0 kB/s
2023-04-27 18:56:46,396.5 kB/s
2023-04-27 18:56:48,461.2 kB/s
2023-04-27 18:56:50,283.4 kB/s
2023-04-27 18:56:52,335.9 kB/s
2023-04-27 18:56:54,459.6 kB/s
2023-04-27 18:56:56,476.0 kB/s
2023-04-27 18:56:58,380.1 kB/s
2023-04-27 18:57:00,522.6 kB/s
2023-04-27 18:57:02,567.7 kB/s
2023-04-27 18:57:04,639.0 kB/s
2023-04-27 18:57:06,452.2 kB/s
2023-04-27 18:57:08,507.9 kB/s
2023-04-27 18:57:10,410.4 kB/s
2023-04-27 18:57:12,453.8 kB/s
2023-04-27 18:57:14,467.8 kB/s
2023-04-27 18:57:16,545.6 kB/s
2023-04-27 18:57:18,693.0 kB/s
2023-04-27 18:57:20,580.0 kB/s
2023-04-27 18:57:22,440.7 kB/s
2023-04-27 18:57:24,396.5 kB/s
2023-04-27 18:57:26,421.9 kB/s
2023-04-27 18:57:28,399.0 kB/s
2023-04-27 18:57:30,399.8 kB/s
2023-04-27 18:57:32,409.6 kB/s
2023-04-27 18:57:34,336.7 kB/s
2023-04-27 18:57:36,363.7 kB/s
2023-04-27 18:57:38,325.2 kB/s
2023-04-27 18:57:40,455.5 kB/s
2023-04-27 18:57:42,475.1 kB/s
2023-04-27 18:57:44,439.9 kB/s
2023-04-27 18:57:46,349.0 kB/s
2023-04-27 18:57:48,462.0 kB/s
2023-04-27 18:57:50,371.1 kB/s
2023-04-27 18:57:52,362.1 kB/s
2023-04-27 18:57:54,296.6 kB/s
2023-04-27 18:57:56,291.6 kB/s
2023-04-27 18:57:58,370.3 kB/s
2023-04-27 18:58:00,497.3 kB/s
2023-04-27 18:58:02,544.8 kB/s
2023-04-27 18:58:04,462.0 kB/s
2023-04-27 18:58:06,332.6 kB/s
2023-04-27 18:58:08,329.3 kB/s
2023-04-27 18:58:10,295.7 kB/s
2023-04-27 18:58:12,363.7 kB/s
2023-04-27 18:58:14,401.4 kB/s

